Rank,Branch,last_role_title,Target_Next_Role,Target_Next_Role_Raw
Lieutenant Commander,Science,Instructor -,Staff Officer R&D - Propulsion Systems,Staff Officer R&D - Propulsion Systems / Post 4
Lieutenant Commander,Science,Instructor -,Staff Officer R&D - Plasma Systems,Staff Officer R&D - Plasma Systems / Post 3
Lieutenant Commander,Science,Staff Officer R&D - Sensors and Communications,Training Officer -,Training Officer - Enlisted Technical School / Post 6
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Warp Technology Institute
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt RS Daedalus / Post 4
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt CS Gateway / Post 5
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Systems Design College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt USS Eclipse / Post 4
Lieutenant Commander,Science,Staff Officer R&D - Hull Integrity,Training Officer -,Training Officer - Advanced Systems College / Post 7
Lieutenant Commander,Science,Instructor -,Instructor -,Instructor - Enlisted Technical School / Post 20
Lieutenant Commander,Science,Instructor -,Instructor -,Instructor - Starfleet Engineering Academy / Post 21
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Horizon / Post 6
Lieutenant Commander,Science,Staff Officer R&D - Stealth Systems,Staff Officer R&D - Hull Integrity,Staff Officer R&D - Hull Integrity / Post 3
Lieutenant,Engineering,Div Officer,Dy Manager,Dy Manager Fleet Maintenance Wing Beta
Lieutenant Commander,Engineering,Dy Manager,Head of Deptt,Head of Deptt SS Meridian / Post 2
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt RS Daedalus / Post 5
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Meridian / Post 7
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt ISS Pioneer / Post 4
Lieutenant Commander,Science,Instructor -,Staff Officer R&D - Sensors and Communications,Staff Officer R&D - Sensors and Communications / Post 5
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Warp Technology Institute
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Meridian / Post 3
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Enlisted Technical School
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt SS Prometheus / Post 3
Lieutenant Commander,Science,Staff Officer R&D -,Staff Officer,Staff Officer Field HQ - Science / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt SS Prometheus / Post 4
Lieutenant,Tactical Systems,Div Officer,Dy Manager Hull Repair Yard Beta,Dy Manager Hull Repair Yard Beta
Lieutenant Commander,Tactical Systems,Dy Manager Hull Repair Yard Beta,Head of Deptt,Head of Deptt USS Helios / Post 2
Lieutenant,Hull Systems,Asst Manager Hull Repair Yard Alpha,Asst Manager,Asst Manager Systems Maintenance Group Sigma
Lieutenant Commander,Hull Systems,Asst Manager,Training Officer -,Training Officer - Advanced Systems College / Post 8
Lieutenant,Hull Systems,Asst Manager,Asst Manager Planetary Repair Depot Two,Asst Manager Planetary Repair Depot Two
Lieutenant Commander,Hull Systems,Asst Manager Planetary Repair Depot Two,Dy Manager,Dy Manager Dockyard Complex Two / Post 4
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Titan / Post 6
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Enlisted Technical School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt ISS Atlantis / Post 4
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Warp Technology Institute
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt RS Pioneer / Post 6
Lieutenant,Engineering,Asst Manager,Staff Officer,Staff Officer Field HQ - Engineering
Lieutenant Commander,Engineering,Staff Officer,Dy Manager,Dy Manager Fleet Maintenance Wing Beta / Post 5
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt ISS Prometheus / Post 10
Lieutenant,Hull Systems,Asst Manager,Instructor -,Instructor - Enlisted Technical School
Lieutenant Commander,Hull Systems,Instructor -,Dy Manager,Dy Manager Systems Maintenance Group Prime / Post 12
Lieutenant Commander,Science,Instructor -,Staff Officer R&D - Stealth Systems,Staff Officer R&D - Stealth Systems / Post 5
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt USS Horizon / Post 7
Lieutenant Commander,Science,Instructor -,Instructor -,Instructor - Starfleet Hull School / Post 26
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt RS Genesis / Post 3
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt ISS Titan / Post 6
Lieutenant Commander,Science,Staff Officer R&D - Structural Materials,Training Officer -,Training Officer - Starfleet Science Academy / Post 7
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt CS Genesis / Post 5
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Warp Technology Institute
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt CS Gateway / Post 6
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt SS Horizon / Post 4
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt ISS Prometheus / Post 11
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt SS Pioneer / Post 6
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Hull School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Prometheus / Post 2
Lieutenant Commander,Science,Staff Officer R&D -,Staff Officer R&D - Quantum Computing,Staff Officer R&D - Quantum Computing / Post 2
Lieutenant,Engineering,Staff Officer SFHQ - Capability Planning,Instructor -,Instructor - Starfleet Engineering Academy
Lieutenant Commander,Engineering,Instructor -,Staff Officer,Staff Officer Field HQ - Engineering / Post 24
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt CS Nova / Post 6
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Hull School
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt CS Titan / Post 5
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt RS Meridian / Post 8
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt SS Titan / Post 4
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Warp Technology Institute
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt CS Pioneer / Post 3
Lieutenant,Engineering,Asst Manager,Asst Manager Planetary Repair Depot One,Asst Manager Planetary Repair Depot One
Lieutenant Commander,Engineering,Asst Manager Planetary Repair Depot One,Dy Manager,Dy Manager Starbase Support Command Delta / Post 7
Lieutenant Commander,Science,Instructor -,Staff Officer R&D - Quantum Computing,Staff Officer R&D - Quantum Computing / Post 3
Lieutenant,Tactical Systems,Asst Manager,Asst Manager Hull Repair Yard Alpha,Asst Manager Hull Repair Yard Alpha
Lieutenant Commander,Tactical Systems,Asst Manager Hull Repair Yard Alpha,Dy Manager,Dy Manager Fleet Maintenance Wing Alpha / Post 5
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt ISS Horizon / Post 6
Lieutenant,Tactical Systems,Asst Manager,Asst Manager,Asst Manager Starbase Support Command Delta
Lieutenant Commander,Tactical Systems,Asst Manager,Dy Manager Hull Repair Yard Alpha,Dy Manager Hull Repair Yard Alpha / Post 13
Lieutenant Commander,Science,Staff Officer R&D - Quantum Computing,Training Officer -,Training Officer - Systems Design College / Post 9
Lieutenant,Engineering,Asst Manager Hull Repair Yard Alpha,Asst Manager,Asst Manager Starbase Support Command Delta
Lieutenant Commander,Engineering,Asst Manager,Dy Manager,Dy Manager Starbase Support Command Delta / Post 8
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt SS Nova / Post 7
Lieutenant Commander,Science,Instructor -,Instructor -,Instructor - Starfleet Hull School
Commander,Science,Instructor -,Dy Director R&D - Deflector Shields,Dy Director R&D - Deflector Shields / Post 7
Lieutenant,Tactical Systems,Div Officer,Dy Manager,Dy Manager Fleet Maintenance Wing Beta
Lieutenant Commander,Tactical Systems,Dy Manager,Head of Deptt,Head of Deptt RS Gateway
Commander,Tactical Systems,Head of Deptt,Manager Hull Repair Yard Beta,Manager Hull Repair Yard Beta / Post 9
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt ISS Prometheus
Commander,Engineering,Head of Deptt,Manager Planetary Repair Depot One,Manager Planetary Repair Depot One / Post 9
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt SS Atlantis
Commander,Tactical Systems,Head of Deptt,Manager Planetary Repair Depot Two,Manager Planetary Repair Depot Two / Post 13
Lieutenant,Hull Systems,Instructor -,Asst Manager,Asst Manager Dockyard Complex One
Lieutenant Commander,Hull Systems,Asst Manager,Dy Manager,Dy Manager Dockyard Complex Two
Commander,Hull Systems,Dy Manager,Training Officer -,Training Officer - Fleet Technical Training Center / Post 6
Lieutenant Commander,Science,Dy Manager,Staff Officer R&D - Propulsion Systems,Staff Officer R&D - Propulsion Systems
Commander,Science,Staff Officer R&D - Propulsion Systems,Dy Director R&D - Plasma Systems,Dy Director R&D - Plasma Systems / Post 4
Lieutenant Commander,Science,Instructor -,Instructor -,Instructor - Starfleet Hull School
Commander,Science,Instructor -,Dy Director R&D -,Dy Director R&D - Warp Field Dynamics / Post 4
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Systems Design College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Daedalus
Commander,Engineering,Head of Deptt,Manager Planetary Repair Depot Two,Manager Planetary Repair Depot Two / Post 14
Lieutenant Commander,Science,Staff Officer R&D - Energy Systems,Training Officer -,Training Officer - Starfleet Engineering Academy
Commander,Science,Training Officer -,Training Officer -,Training Officer - Enlisted Technical School / Post 7
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Enlisted Technical School
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt RS Prometheus
Commander,Tactical Systems,Head of Deptt,Dy Director SFHQ - Operations Analysis,Dy Director SFHQ - Operations Analysis / Post 5
Lieutenant Commander,Science,Staff Officer R&D - Plasma Systems,Training Officer -,Training Officer - Systems Design College
Commander,Science,Training Officer -,Dy Director R&D - Hull Integrity,Dy Director R&D - Hull Integrity / Post 6
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt CS Daedalus
Commander,Engineering,Head of Deptt,Manager,Manager Dockyard Complex Two / Post 12
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Hull School
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt SS Pioneer
Commander,Tactical Systems,Head of Deptt,Dy Director SFHQ - Systems Integration,Dy Director SFHQ - Systems Integration / Post 5
Lieutenant,Hull Systems,Instructor -,Instructor -,Instructor - Systems Design College
Lieutenant Commander,Hull Systems,Instructor -,Training Officer -,Training Officer - Systems Design College
Commander,Hull Systems,Training Officer -,Staff Officer,Staff Officer Field HQ - Hull Systems / Post 3
Lieutenant,Hull Systems,Staff Officer R&D - Energy Systems,Dy Manager,Dy Manager Systems Maintenance Group Sigma
Lieutenant Commander,Hull Systems,Dy Manager,Dy Manager,Dy Manager Dockyard Complex One
Commander,Hull Systems,Dy Manager,Training Officer -,Training Officer - Systems Design College / Post 10
Lieutenant Commander,Science,Instructor -,Staff Officer R&D -,Staff Officer R&D - Warp Field Dynamics
Commander,Science,Staff Officer R&D -,Dy Director R&D - Energy Systems,Dy Director R&D - Energy Systems / Post 7
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Warp Technology Institute
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt ISS Atlantis
Commander,Engineering,Head of Deptt,Dy Director SFHQ - Strategic Planning,Dy Director SFHQ - Strategic Planning / Post 7
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt RS Pioneer
Commander,Tactical Systems,Head of Deptt,Manager,Manager Starbase Support Command Gamma / Post 13
Lieutenant Commander,Science,Instructor -,Training Officer -,Training Officer - Enlisted Technical School
Commander,Science,Training Officer -,Staff Officer,Staff Officer Field HQ - Science / Post 3
Lieutenant Commander,Science,Instructor -,Staff Officer R&D -,Staff Officer R&D - Warp Field Dynamics
Commander,Science,Staff Officer R&D -,Training Officer -,Training Officer - Advanced Systems College / Post 9
Lieutenant Commander,Science,Staff Officer R&D - Hull Integrity,Training Officer -,Training Officer - Systems Design College
Commander,Science,Training Officer -,Training Officer -,Training Officer - Advanced Systems College / Post 10
Lieutenant Commander,Science,Instructor -,Staff Officer R&D - Quantum Computing,Staff Officer R&D - Quantum Computing
Commander,Science,Staff Officer R&D - Quantum Computing,Training Officer -,Training Officer - Systems Design College / Post 11
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt SS Pioneer
Commander,Tactical Systems,Head of Deptt,Dy Director SFHQ - Doctrine and Development,Dy Director SFHQ - Doctrine and Development / Post 5
